Link ID,Category,Topic,Difficulty,Link
X_44,Price Watch,Real time price watch of 電腦 in JD.com,2,https://search.jd.com/Search?keyword=電腦&enc=utf-8
45,Price Watch,Real time price watch of Taobao,2,https://s.taobao.com/search?q=家具&js=1&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20180524&ie=utf8
46,Price Watch,"Daily price watch of product in Pricehk.com (only daily prices, no other information needed)",2,https://www.price.com.hk/zone.php?z=1
47,Price Watch,"Daily price watch of supermarket, such as ParknShop/ Welcome",2,https://www3.consumer.org.hk/pricewatch/supermarket/index.php?filter1=009
48,Shopping Malls,"Citygate Outlets, Tung Chung",2,https://www.citygateoutlets.com.hk/en/brands.aspx
49,Shopping Malls,"The Landmark, Central",2,https://www.landmark.hk/en/sitemap
50,Social Media,China celebrity/KOL fans rate,2,https://www.socialbakers.com/statistics/facebook/pages/total/china/celebrities/
51,Stock,"Historical Stock Index, including HengSeng Stock Index, Nasdaq Index, 沪深300指數, 上证50指數, China A50 and Nakkei 225",2,https://www.investing.com/indices/hang-sen-40
52,Transport,Daily flight number by cities,2,http://freeflightstatus.blogspot.hk
#53,Best Sellers,weekly top 30 best sellers of openrice,3,https://www.openrice.com/zh/hongkong/chart/best-rating
javascript#54,Price Watch,Real time price watch in Hong Kong of Airbnb ,3,https://www.airbnb.com.hk/s/Hong-Kong/homes?adults=1&children=0&infants=0&source=hdr&place_id=ChIJByjqov3-AzQR2pT0dDW0bUg&refinement_paths%5B%5D=%2Fhomes&allow_override%5B%5D=&s_tag=KVDoTFax
55,Price Watch,Real time price watch of electronics in Amazon,3,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=electronics&rh=i%3Aaps%2Ck%3Aelectronics&ajr=0
56,Transport,Real time flight number by cities,3,"https://www.flightradar24.com/22.28,114.15/7"
#57,Transport,Real time HK NWS bus ETA,5,https://mobile.nwstbus.com.hk/nwp3/?f=1&ds=ETA&l=0
