	floor	shopno	tel	title
70	1/F	135	+852 2799 2118	Pizza Hut
71	1/F	119	+852 2379 2788	QB House
72	1/F	124	+852 2331 2661	Sa Sa
73	1/F	101,102,106,107	+852 2207 0208	SU-PA-DE-PA
74	1/F	118	+852 2868 0223	Tak Wah
75	1/F	108	+852 2959 1788	TELECOM DIGITAL / SUN MOBILE
76	1/F	129	+852 2331 2869	Veeko
77	1/F	110	+852 3669 6878	Ya Xuan Home Furnishing Design 
78	1/F	117	+852 6088 9471	Yves Rocher, France
79	2/F	225-226	+852 25776685	759 Store
80	2/F	K2	+852 9386 8087	:edona store
81	2/F	211	+852 5542 4932	Antoshimo Café & Bakery 
82	2/F	203	+852 2323 2292	BABYNIKO 嬰幼兒用品店
83	2/F	224	+852 2692 6518	Cedar Chinese Medicine Clinic (Yau Tong)
84	2/F	214	+852 2752 9561	CHIU CHOW MANSION
85	2/F	219	+852 2167 6100	Citi Net Computer
86	2/F	222	+852 2727 2651	City Life 
87	2/F	234	+852 2878 7083	CRCare 
88	2/F	223	+852 2774 0008	Digital Home
89	2/F	210	+852 2683 5611	Dot Art
90	2/F	216	+852 8300 8109	ERA ELECTRIC CENTRE
91	2/F	218	+852 2524 2438	Fotomax
92	2/F	212	+852 2856 8656	Hak Ka Hut 
93	2/F	230	+852 2687 0333	Jade Butterfly Jewellery Co.
94	2/F	235	+852 2717 2727	KENTING TEA HOUSE
95	2/F	204 - 205	+852 2870 3578	LIFE KAN
96	2/F	228	+852 2805 8292	Live Smart
97	2/F	233	+852 2778 6098	mannings
98	2/F	217	+852 2796 3186	New best.com
99	2/F	215	+852 2568 3708	Ninki Denki
100	2/F	207	+852 2730 0273	O'Farm
101	2/F	237	+852 2577 1168	PEACE CUISINE
102	2/F	229	+852 2577 1198	S.F. Express (Hong Kong) Ltd
103	2/F	201 - 202	+852 2752 1268	SU-PA-DE-PA
104	2/F	221	+852 2868 1912	VITA GREEN
105	2/F	220	+852 2811 1971	Watsons
106	2/F	227	+852 2420 0089	Zpecial
107	2/F	236	+852 2878 7083	譚仔雲南米線
108	2/F	231	+852 2668 9099	香港珠寶聯盟 - 生福珠寶
109	3/F	306	+852 3999 9082 (Service Hotline)	Doris Chui School of Ballet
110	3/F	302	+852 2340 0064	ELLA
111	3/F	308 - 312	  +852 2205 8823	Food Republic
112	3/F	301	  +852 2337 0977 (牛陣)	J-plus
113	3/F	304	  +852 2205 8030 (韓國屋)  	Jolly Kingdom
114	3/F	303	+852 2343 5068	Maple Tree Education Centre (Domain)
115	3/F	307	+852 3163 9617	Parkland Music Institute
116	3/F	314	+852 2267 0038	Parsons Music 
117	3/F	305	+852 2661 5078	PETITE PRINCESS ACADEMY OF DANCE
118	3/F	313 - 313A	+852 2755 7688	PLAY ACADEMY
119	3/F	313B	+852 2153 3928	POPULAR
120	3/F	316	+852 2352 3799	TOKACHI GYUU AMAZING SHABU SHABU RESTAURANT
121	3/F	313C	+852 2798 8162	Trendyland Studio
122	3/F	315	+852 2408 6568	Wonderland Superstore
123	R/F	R01	+852 2613 9918	Coming Soon
124	MTR Floor	M01	+852 2616 0083	WALNUT SHOP
125	MTR Floor	M02	+852 2717 3421	Family shop
126	MTR Floor	M03-M04	+852 2791 2833	SAINT HONORE CAKE SHOP
127	MTR Floor	M05	+852 3401 4740	Circle K Convenience Store
128	MTR Floor	M06	+852 2555 0417	GONG CHA
129	MTR Floor	M07	+852 3621 0988	BOCHK AUTOMATED BANKING SERVICES CENTRE
130	MTR Floor	M08	+852 3988 2388	Pak Don Chicken Rice
131	MTR Floor	M09	+852 2898 2535	Sushi Take Out
132	MTR Floor	M10	+852 3621 0988	euro go go
133	MTR Floor	M11	+852 2151 1190	中港通
134	MTR Floor	M12	+852 2230 3030	HSBC ATM
135	MTR Floor	K4	+852 2233 3000	S.S Money Exchange
136	LG2	LG201	+852 2715 0933	Snack Express
137	LG2	LG202-LG203	+852 2702 1838	Hokkaido Dairy Farm
138	LG2	LG204	+852 2793 0326	Hui Lau Shan
139	LG2	LG205	+852 2956 3579	Super Super Congee & Noodles
140	LG1	LG101	+852 2711 3603	iPostal Station
141	G/F	G01	+852 2760 1120	PUMA
142	G/F	G02-G05	+852 2760 1121	FREE MIX
143	G/F	G06 - G07	+852 2717 1038	LA PALMA
144	G/F	G08	+852 2753 9977	Maureen
145	G/F	G09	+852 2757 7228	D CORNER RESTAURANT
146	G/F	G10	+852 2433 1828	BANDAI
147	G/F	G11	+852 2489 2226	LEONA
148	G/F	G12 & G13	+852 2677 6860	rapee-LIVING
149	G/F	G14 & G27	+852 2461 1512	CHECKPOiNT
150	G/F	G15	+852 2870 1466	JEANSWEST
151	G/F	G16	+852 3514 4101	EYE'SMATE OPTICAL
152	G/F	G16A	+852 2776 9222	WATCH OUT
153	G/F	G17	+852 2757 5163	MaBelle
154	G/F	G18 - G19	+852 2591 0492	BSX
155	G/F	G20	+852 2162 3039	LENSCRAFTERS
156	G/F	G21	+852 2709 0112	KT5
157	G/F	G22	+852 2611 9813	JjPn
158	G/F	G23	+852 9316 2630	ST.ANGELO Art Center
159	G/F	G25	+852 2349 8884	Charming Beauty Saloon 
160	G/F	G26	+852 2673 1600	ORGANIC BEAUTY
161	G/F	G28	+852 3580 0398	Cafe Pho 1975 
162	G/F	G28A	+852 2340 0085	Grove Cafe
163	G/F	G29	+852 2709 0488	3 Shop
164	G/F	G30	+852 2149 0828	GRILL n MORE
165	G/F	G31	+852 9762 0948	Bentoya 弁当や 便當屋
166	G/F	G32	+852 3498 3498 (Service Hotline)	HONG KONG BROADBAND NETWORK LTD
167	G/F	G34	+852 2711 1100	PAPRIKA
168	G/F	G35	+852 2668 5090	Mushroom
169	G/F	G36	+852 2882 8234	JOYO
170	G/F	G37	+852 2758 1366	MDX
171	G/F	G38	+852 2319 2030	GIORDANO
172	G/F	G39	+852 2323 9993	Weather Guide
173	G/F	G40	+852 2164 0080	ESPRIT
174	G/F	G41	+852 2297 0166	Tai Hing
175	1/F	101,102,106,107	+852 2379 2788	SU-PA-DE-PA
176	1/F	103	+852 2198 3744	Hang Seng Bank
177	1/F	104-105	+852 2316 2788	Footspot
178	1/F	108	+852 2207 0208	TELECOM DIGITAL / SUN MOBILE
179	1/F	109	+852 2295 0937	Gitti
180	1/F	110	+852 2959 1788	Ya Xuan Home Furnishing Design 
181	1/F	111	+852 2408 7800	85°C
182	1/F	112	+852 2568 3851	Genki Sushi
183	1/F	113	+852 2295 1266	Heart To Heart Jewellery
184	1/F	114	+852 2157 0329	Cottex
185	1/F	115	+852 2368 8115	GREEN THAI
186	1/F	116	+852 3194 0111	HAIR 3000 Professional Hair Products
187	1/F	117	+852 2331 2869	Yves Rocher, France
188	1/F	118	+852 2331 2661	Tak Wah
189	1/F	119	+852 2359 3300	QB House
190	1/F	121	+852 2377 3100	Grand Home Property
191	1/F	124	+852 2799 2118	Sa Sa
192	1/F	125	+852 2409 1932	Baleno
193	1/F	126	+852 2868 2996	colourmix
194	1/F	127	+852 2799 3203	M3
195	1/F	128	+852 2772 1002	Pe:tite
196	1/F	129	+852 2868 0223	Veeko
197	1/F	130	+852 2413 3638	Living Plaza by AEON
198	1/F	131	+852 2662 2139	Noble Diamond
199	1/F	132	+852 2104 2118	Muzi Dessert
200	1/F	133 - 134	+852 3620 3560	Marugame Seimen
201	1/F	135	+852 2885 6742	Pizza Hut
202	1/F	136	+852 2577 1168	ICBC (Asia) ATM
203	2/F	201 - 202	+852 2577 1198	SU-PA-DE-PA
204	2/F	203	+852 9386 8087	BABYNIKO 嬰幼兒用品店
205	2/F	204 - 205	+852 2687 0333	LIFE KAN
206	2/F	207	+852 2796 3186	O'Farm
207	2/F	210	+852 2878 7083	Dot Art
208	2/F	211	+852 25776685	Antoshimo Café & Bakery 
209	2/F	212	+852 8300 8109	Hak Ka Hut 
210	2/F	214	+852 2323 2292	CHIU CHOW MANSION
211	2/F	215	+852 2778 6098	Ninki Denki
212	2/F	216	+852 2774 0008	ERA ELECTRIC CENTRE
213	2/F	217	+852 2805 8292	New best.com
214	2/F	218	+852 2683 5611	Fotomax
215	2/F	219	+852 2692 6518	Citi Net Computer
216	2/F	220	+852 2868 1912	Watsons
217	2/F	221	+852 2752 1268	VITA GREEN
218	2/F	222	+852 2752 9561	City Life 
219	2/F	223	+852 2727 2651	Digital Home
220	2/F	224	+852 5542 4932	Cedar Chinese Medicine Clinic (Yau Tong)
221	2/F	225-226	+852 3669 6878	759 Store
222	2/F	227	+852 2811 1971	Zpecial
223	2/F	228	+852 2717 2727	Live Smart
224	2/F	229	+852 2730 0273	S.F. Express (Hong Kong) Ltd
225	2/F	230	+852 2524 2438	Jade Butterfly Jewellery Co.
226	2/F	231	+852 2878 7083	香港珠寶聯盟 - 生福珠寶
227	2/F	233	+852 2870 3578	mannings
228	2/F	234	+852 2167 6100	CRCare 
229	2/F	235	+852 2856 8656	KENTING TEA HOUSE
230	2/F	236	+852 2420 0089	譚仔雲南米線
231	2/F	237	+852 2568 3708	PEACE CUISINE
232	2/F	K2	+852 6088 9471	:edona store
233	3/F	301	+852 2343 5068	J-plus
234	3/F	302	+852 2340 0064	ELLA
235	3/F	303	+852 2267 0038	Maple Tree Education Centre (Domain)
236	3/F	304	+852 3163 9617	Jolly Kingdom
237	3/F	305	+852 2153 3928	PETITE PRINCESS ACADEMY OF DANCE
238	3/F	306	+852 2668 9099	Doris Chui School of Ballet
239	3/F	307	+852 3999 9082 (Service Hotline)	Parkland Music Institute
240	3/F	308 - 312	+852 2661 5078	Food Republic
241	3/F	313 - 313A	  +852 2205 8823	PLAY ACADEMY
242	3/F	313B	  +852 2337 0977 (牛陣)	POPULAR
243	3/F	313C	  +852 2205 8030 (韓國屋)  	Trendyland Studio
244	3/F	314	+852 2352 3799	Parsons Music 
245	3/F	315	+852 2798 8162	Wonderland Superstore
246	3/F	316	+852 2613 9918	TOKACHI GYUU AMAZING SHABU SHABU RESTAURANT
247	R/F	R01	+852 2755 7688	Coming Soon
