	info	location	tel	title
43	"
						10:30 – 21:00 Mon – Sun & Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/apm-monaco-coming-soon/	Clarins
44	"
						10:00 – 19:30 Mon – Saturday"	"
							L1 / Shop 1032"	tel:3972 1500	Claudie Pierlot
45	"
10:30 – 19:00 Sunday and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/apple/	Clé de Peau Beauté
46	"
						10:30 – 19:30 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2008 – 09"	tel:2110 9434	Club Monaco
47	"
						10:30 – 21:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/arcteryx-coming-soon/	COACH
48	"
						10:00 – 22:00 Mon – Sun and Public Holidays
						"	"
							L3 / Shop 3085A"	tel:2295 3980	COS
49	"
						10:00 – 21:00 Mon – Thu"	"						"	http://ifc.com.hk/mall/shop/arte-madrid/	DIESEL
50	"
10:00 – 21:30 Fri – Sun and Public Holidays
						"	"
							L1 / Shop 1091B"	tel:2295 3833	Dior Beauty 
51	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/ascot-chang/	diptyque
52	"
						10:00 – 21:00 Monday – Sunday and Public Holidays
						"	"
							L1 / Shop 1085"	tel:2344 0770	Disc Plus
53	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/atelier-cologne/	ECCO
54	"
						10:30 – 21:00 Mon – Sun and Public Holidays 
						"	"
							L1 / Shop 1099"	tel:2167 7308	Elegant Watch & Jewellery
55	"
						10:00 – 22:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/atsuro-tayama/	Emilio Pucci
56	"
						10:00 – 21:00 Mon – Thur, Sun and Public Holidays"	"
							L3 / Shop 3092C"	tel:2818 0008	Enoteca
57	"
10:00 – 21:30 Fri – Sat
						"	"						"	http://ifc.com.hk/mall/shop/audemars-piguet/	Ermenegildo Zegna
58	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2011"	tel:2295 3398	Estée Lauder
59	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/av-life/	ETRO
60	"
						10:00 – 21:30 Mon – Sun and public holidays
						"	"
							L2 / Shop 2038"	tel:2624 9166	FALKE (Coming soon)
61	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/babynes-coming-soon/	Fedeli
62	"
						10:00 – 20:00 Mon – Sun and Public Holidays
						"	"
							L1 / Shop 1096A"	tel:2526 8800	flannel flowers
63	"
						10:00 – 20:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/bang-olufsen/	FRED
64	"
						10:30-21:00 Mon-Sun and Public Holidays
						"	"
							L2 / Shop 2037"	tel:2339 1223	fresh (Coming soon)
65	"
						10:00 – 20:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/bash/	FREYWILLE
66	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2041"	tel:2882 5218	FURLA
67	"
						10:00-20:00 Mon-Sun & Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/beyorg-beyond-organic/	GEOX
68	"
												"	"
							L1 / Shop 1096B "	tel:2111 3912	Georg Jensen
69	"
						10:00 – 20:00 Mon – Sun and Public Holiday
						"	"						"	http://ifc.com.hk/mall/shop/bobbi-brown/	Giorgio Armani Beauty
70	"
						9:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L1 / Shop 1040A"	tel:3106 4566	Giuseppe Zanotti
71	"
						10:00 – 20:00 Mon-Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/boggi-milano-coming-soon/	Givenchy
72	"
						9:30 – 21:00 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2076"	tel:2813 2770	Glasstique
73	"
						10:00 – 22:00 Mon-Sun & Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/bookazine/	Golden Goose Deluxe Brand®
74	"
						10:00 – 21:30 Mon – Sun and Public Holidays
						"	"
							L1 / Shop 1060"	tel:3100 0080	GUCCI (coming soon)
75	"
						10:00 – 20:30 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/bose/	Haglofs
76	"
						10:30 – 20:00 Mon – Sun and Public Holidays
						"	"
							L1 / Shop LA1"	tel:2234 7078	HUBLOT
77	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/bottega-veneta/	HUGO BOSS
78	"
						10:00-20:00 Mon-Sun and Public Holidays
						"	"
							L1 / Shop 1019B"	tel:2234 7088	IWC Schaffhausen
79	"
						10:30 – 20:00 Sun – Thu and Public Holidays"	"						"	http://ifc.com.hk/mall/shop/brooks-brothers/	J.CREW
80	"
10:30 – 20:30 Fri – Sat
						"	"
							L2 / Shop 2055"	tel:2175 4268	Jaeger-LeCoultre
81	"
						10:00 – 20:30 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/brunello-cucinelli-coming-soon/	John Masters Organics
82	"
						10:00 – 20:00 Mon – Sun and Public Holidays 
						"	"
							L2 / Shop 2045"	tel:2234 7668	kate spade new york
83	"
						10:30 – 20:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/bvlgari/	KENZO
84	"
						11:00-21:00 Mon – Sun and Public Holidays
						"	"
							L1 / Shop 1011 – 12"	tel:2537 0100	Kiehl’s
85	"
						10:00-20:00 Mon-Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/calvin-klein-underwear-2/	KIKO MILANO
86	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L1 / Shop 1041 – 49"	tel:2234 7372	KINJI
87	"
						9:30 – 20:15 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/carat-london/	Kiton
88	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L1 / Shop 1089"	tel:2805 8666	la prairie
89	"
						10:00 – 20:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/celine/	LALIQUE
90	"
						10:00-21:00 Mon – Sun and Public holidays
						"	"
							L3 / Shop 3085B"	tel:2805 0880	Lane Crawford
91	"
						10:30 – 21:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/chanel-beaute/	Lane Crawford Home
92	"
						10:30-20:00 Mon-Sun and Public holiday
						"	"
							L1 / Shop 1059A"	tel:2805 0880	LANVIN-Ladies
93	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/chanel-pop-up/	Laurèl
94	"
						10:00 – 22:00 Mon-Sun and Public Holidays
						"	"
							L1 / Shop 1039"	tel:2845 9788	Le Labo
95	"
						10:30 – 20:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/chateau-bardens/	LEICA
96	"
						10:30 – 20:00 Mon – Sun and Public Holidays
						"	"
							L1 / Shop 1038"	tel:2536 9338	LensCrafters
97	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/chaumet/	Life Digital-Gadgets
98	"
						10:30 – 19:30 Mon – FRI"	"
							L1 / Shop 1063"	tel:2805 0777	Linda Farrow
99	"
11:00 – 19:30 Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/chopard/	Links of London
100	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L1 / Shop 1051"	tel:2295 3882	LIQUID GOLD
101	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/chow-sang-sang/	L’OCCITANE
102	"
						10:30 – 19:30 Mon – Sun and Public Holidays
						"	"
							L1 / Shop 1076"	tel:2736 3866	Loewe
103	"
						10:30 – 20:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/citysuper/	Longchamp Pop-up Store
104	"
						10:30 – 21:00 Mon-Sun and Public Holidays
						"	"
							L1 / Shop 1083"	tel:2295 0827	LORO PIANA
105	"
						10:00 – 20:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/clarins/	lululemon athletica
106	"
						10:00 – 20:30 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2021"	tel:2217 9677	M.A.C
107	"
						10:00 – 20:30 Mon – Sat"	"						"	http://ifc.com.hk/mall/shop/claudie-pierlot/	MaBelle
108	"
10:00 – 20:00 Sun and Public Holidays
						"	"
							L1 / Shop 1035"	tel:2234 7111	Madia
109	"
						10:30 – 20:30 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/cle-de-peau-beaute/	Maje
110	"
						10:00-21:00 Mon-Thurs"	"
							L1 / Shop 1009"	tel:3586 3045/3586 3046	(Malin + Goetz) (Coming soon)
111	"
10:00-20:30 Fri-Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/club-monaco/	Mannings Plus
112	"
						10:00 – 21:00 Mon-Sun and Public Holidays 
						"	"
							L2 / Shop 2082"	tel:2234 7606	Marie France Van Damme
113	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/coach/	Massimo Dutti
114	"
						10:30 – 20:30 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2001A"	tel:3153 4400	MAX&Co.
115	"
						10:00 – 21:00 Mon-Sun & Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/cos/	Max Mara
116	"
						10:30 – 19:30 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2050 – 53"	tel:2641 1773	MIKIMOTO
117	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/diesel/	MONCLER
118	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L1 / Shop 1078"	tel:2870 0543	MONICA VINADER
119	"
						10:00 – 20:30 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/dior-beauty/	Montblanc
120	"
						10:00 – 20:30 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2032"	tel:2521 6799	Mr & Mrs Italy
121	"
						10:00 – 22:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/diptyque/	my NAIL NAIL
122	"
												"	"
							L3 / Shop 3092B"	tel:2506 9168	Nespresso
123	"
						09:00 – 21:30 Mon – Sat"	"						"	http://ifc.com.hk/mall/shop/disc-plus/	OFFICINE PANERAI
124	"
10:00 – 21:30 Sun and Public Holidays
						"	"
							L2 / Shop 2030"	tel:2234 7070 	OMEGA
125	"
						10:30 – 21:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/ecco/	PALACE ifc
126	"
						10:00 – 22:00 Sun – Thurs and Public holidays"	"
							L1 / Shop 1040B"	tel:2117 0000	PANDORA
127	"
10:00 – 22:30 Fri – Sat 
						"	"						"	http://ifc.com.hk/mall/shop/elegant-watch-jewellery/	Penhaligon’s London
128	"
						10:00 – 22:00 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2023"	tel:2319 0868	Perrin Paris
129	"
						Mon-Sun and Public Holiday : 10am – 8pm
						"	"						"	http://ifc.com.hk/mall/shop/emilio-pucci/	Pomellato
130	"
						10:30 – 20:00 Mon – Sun and Public Holidays
						"	"
							L1 / Shop 1086"	tel:2368 9230	PRIVATE i SALON
131	"
						10:30 – 20:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/enoteca/	Pure Fitness
132	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2085"	tel:2295 0828	Qeelin
133	"
						10:00 – 20:30 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/ermenegildo-zegna/	RIMOWA(coming soon)
134	"
						10:30 – 20:00 Mon – Sun and Public Holidays
						"	"
							L1 / Shop 1055"	tel:3188 9313	Rolex (coming soon)
135	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/estee-lauder/	Rue Madame
136	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L1 / Shop 1020"	tel:2392 9696	Salvatore Ferragamo
137	"
						10:00 – 20:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/etro-coming-soon/	Samsonite
138	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2027"	http://ifc.com.hk/mall/shop/falke-coming-soon/	Sandro
139	"
						10:00 – 22:00 Mon – Fri"	"						"	tel:2617 9128	Scotch & Soda
140	"
08:30 – 24:00 Sat"	"
							L1 / Shop 1059C"	http://ifc.com.hk/mall/shop/fedeli/	seed
141	"
08:30 – 22:00 Sun and Public Holidays
						"	"						"	tel:2234 7002	Sergio Rossi
142	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2072 – 73"	http://ifc.com.hk/mall/shop/flannel-flowers/	SHISEIDO
143	"
						10:00 – 21:00 Mon – Sun
						"	"						"	tel:2525 8818	SK-II
144	"
						10:30 – 20:00 Mon – Sun
						"	"
							L2 / Shop 2061"	http://ifc.com.hk/mall/shop/fred/	SmarTone
145	"
						10:30 – 20:00 Mon – Sun and Public Holidays
						"	"						"	tel:3572 0126	Stuart Weitzman
146	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L1 / Shop 1001"	http://ifc.com.hk/mall/shop/fresh/	Sunglass Hut
147	"
						06:00 – 24:00 Mon – Sat"	"						"	tel:2545 4549	Swarovski
148	"
08:00 – 22:00  Sun and Public Holidays
						"	"
							L2 / Shop 2087"	http://ifc.com.hk/mall/shop/freywille/	TAG Heuer
149	"
						10:30 – 19:30 Mon – Sun and Public Holidays
						"	"						"	tel:2234 7148	Tai Pan Row
150	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2066"	http://ifc.com.hk/mall/shop/furla/	Theory
151	"
						10:30 – 19:30 Mon – Sun & Public Holidays
						"	"						"	tel:2295 3988 	Tiffany & Co.
152	"
						10:30 – 21:00 Mon – Sun and Public Holidays
						"	"
							L3 / Shop 3092D"	http://ifc.com.hk/mall/shop/geox/	TOM FORD
153	"
						10:00 – 20:00 Mon – Sun and Public Holidays
						"	"						"	tel:2868 3800	TORY BURCH
154	"
						10:00 – 21:00 Mon-Sun and Public Holidays
						"	"
							L1 / Shop 1002A"	http://ifc.com.hk/mall/shop/gerog-jensen/	Travelex worldwide money
155	"
						11:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	tel:2527 2366	TUMI
156	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2088"	http://ifc.com.hk/mall/shop/giorgio-armani-beauty/	Vacheron Constantin
157	"
						10:00 – 21:30 Mon – Fri; 10:00 – 21:00 Sat, Sun and Public Holidays
						"	"						"	tel:2805 0890	Valentino
158	"
						10:00-20:00 Mon- Sun and Public Holidays
						"	"
							L1 / Shop 1003A"	http://ifc.com.hk/mall/shop/giuseppe-zanotti-design/	Valextra
159	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/givenchy/	VICTORIA’S SECRET Beauty and Accessories
160	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L1 / Shop 1026 – 28"	tel:2295 1688	Victorinox
161	"
						09:00 – 21:00 Mon – Sat"	"						"	http://ifc.com.hk/mall/shop/glasstique/	VILEBREQUIN
162	"
10:00 – 21:00 Sun and Public Holidays
						"	"
							L1 / Shop 1009A"	tel:28963275	Watsons bébé
163	"
						10:00 – 21:00 Mon-Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/golden-goose-deluxe-brand/	Watson’s Wine
164	"
						09:30 – 20:30 Mon – Sun and Public Holidays
						"	"
							L3 / Shop 3005A"	tel:2234 7322	Wellendorff
165	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/gucci/	Whistles
166	"
						10:00 – 20:00 Mon – Sun and Public Holidays
						"	"
							L1 / Shop 1053B"	tel:2897 1388	Wise-Kids Toys
167	"
						10:00 – 20:00 Mon – Sat"	"						"	http://ifc.com.hk/mall/shop/haglofs/	WOLFORD
168	"
10:00 – 19:00 Sun and Public Holiday
						"	"
							L2 / Shop 2083"	tel:2116 3708	YSL Beaute
169	"
						10:00 – 21:00 Mon – Thurs and Public Holidays"	"						"	http://ifc.com.hk/mall/shop/hublot/	Zara
170	"
10:00 – 21:30 Fri and Sat
						"	"
							L1 / Shop 1059B"	tel:3188 1171	45R
171	"
						10:30 – 20:00 Mon – Sat"	"						"	http://ifc.com.hk/mall/shop/hugo-boss/	7 for All Mankind
172	"
11:00 – 20:00 Sun and Public Holidays
						"	"
							L1 / Shop 1025B"	tel:2668 5456	Accessorize
173	"
						10:30 – 19:30 Mon – Thu, Sun and Public holidays"	"						"	http://ifc.com.hk/mall/shop/iwc-schaffhausen/	Acne Studios
174	"
10:30 – 20:00 Fri – Sat
						"	"
							L3 / Shop 3021"	tel:2628 5611	Aesop
175	"
						10:00-20:00 Sun –Thu"	"						"	http://ifc.com.hk/mall/shop/j-crew/	agnès b. LA LOGGIA bis
176	"
10:00-20:30 Fri – Sat and Eve of Public Holidays
						"	"
							L2 / Shop 2062"	tel:2643 2822	AIGLE
177	"
						10:00 – 21:00 Mon – Sun and public holidays
						"	"						"	http://ifc.com.hk/mall/shop/jaeger-lecoultre/	Alexandre Zouari Paris
178	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L1 / Shop 1077"	tel:2117 0721	Alfred Dunhill
179	"
						10:30 – 20:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/john-masters-organicscoming-soon/	alice + olivia
180	"
						10:30 – 20:00 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2025"	tel:3188 1928	American Vintage
181	"
						10:00 – 20:00 Mon – Sun and public holidays
						"	"						"	http://ifc.com.hk/mall/shop/kate-spade-new-york/	ANTEPRIMA
182	"
						10:00 – 21:00 Mon – Fri to Sun and Public Holidays
						"	"
							L3 / Shop 3031 – 70"	tel:2117 2277	APM Monaco
183	"
						10:00 – 20:00 Sun – Thu "	"						"	http://ifc.com.hk/mall/shop/kenzo/	Apple Store
184	"
10:00 – 21:00 Fri – Sat and Public Holidays
						"	"
							L4 / Shop 4008"	tel:2111 4032	ARC'TERYX
185	"
						10:00 – 21:00 Mon – Sun and Public Holidays 
						"	"						"	http://ifc.com.hk/mall/shop/kiehls/	ARTĒ Madrid
186	"
						09:00 am – 09:30 pm (Mon – Sat)"	"
							L2 / Shop 2043"	tel:2833 5363	Ascot Chang
187	"
10:00 am – 09:30 pm (Sun and Public Holidays)
						"	"						"	http://ifc.com.hk/mall/shop/kiko/	Atelier Cologne
188	"
						11:00 – 20:30 Mon – Sat"	"
							L2 / Shop 2084"	tel:2295 1182	ATSURO TAYAMA
189	"
11:00 – 20:00 Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/kinji/	Audemars Piguet
190	"
						10:30 – 20:00 Mon – Sun and Public Holidays 
						"	"
							L3 / Shop 3007"	tel:2234 7882	AV Life - Prestige
191	"
						10:00 – 22:00 Mon- Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/kiton/	BabyNes® Nutrition System Boutique
192	"
						10:30 – 20:30 Mon-Sun and Public Holidays
						"	"
							L2 / Shop 2026"	tel:2524 6136	Bang & Olufsen
193	"
						10:00 – 22:00 Mon – Sun 
						"	"						"	http://ifc.com.hk/mall/shop/la-prairie/	ba&sh
194	"
						10:00-2100 Mon-Sun and Public holidays
						"	"
							L1 / Shop 1016"	tel:2234 7333	BEYORG® | Beyond Organic
195	"
						10:00 – 22:00  Sun – Thurs"	"						"	http://ifc.com.hk/mall/shop/lalique/	Bobbi Brown
196	"
10:00 – 22:30  Fri and Sat
						"	"
							L2 / Shop 2015"	tel:2118 3388	Boggi Milano
197	"
						11:00 – 21:00 Mon – Sun and public holidays
						"	"						"	http://ifc.com.hk/mall/shop/lane-crawford/	Bookazine
198	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2004A"	tel:2118 3388	BOSE
199	"
						10:00 – 22:00 Mon- Sun and Public Holiday
						"	"						"	http://ifc.com.hk/mall/shop/lane-crawford-home/	Bottega Veneta
200	"
						10:00  – 20:00 Mon – Sun and Public Holidays
						"	"
							L1 / Shop 1019A"	tel:2234 7323	Brooks Brothers
201	"
						10:00 –21:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/lanvin-ladies/	Brunello Cucinelli
202	"
						10:00 – 21:00 Mon-Sun and Public Holidays"	"
							L2 / Shop 2001B"	tel:2234 7341 	BVLGARI
203	"
Cafe: 9:30 – 21:30 Mon-Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/laurel/	Calvin Klein Underwear
204	"
						10:30-21:00 Mon-Sun and Public Holidays
						"	"
							L1 / Shop 1090"	tel:2759 8680	CARAT* London
205	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/le-labo/	CÉLINE
206	"
												"	"
							L2 / Shop 2060"	tel:2887 8000	CHANEL BEAUTÉ (Coming soon)
207	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/leica/	CHANEL BEAUTÉ Pop-up
208	"
						10:30 – 21:00 Mon-Sun and Public Holidays
						"	"
							L1 / Shop LA2"	tel:2295 3619	Chateau Bardens
