,Shop Name,Shop No.,Floor,Telephone
86,kikki.K,203,2/F,(852) 2117 0916
87,Kingkow,269,2/F,(852) 2537 3268
88,L’OCCITANE,209,2/F,(852) 2568 6860
89,LANCÔME,279,2/F,(852) 2539 6008
90,Laura Ashley,151,1/F,(852) 2130 2060
91,LensCrafters,128A,1/F,(852) 2886 4522
92,Levi’s®,284,2/F,(852) 2907 0080
93,Links of London,,"2/F, 207",(852) 2362 1321
94,Lipault,132,1/F,(852) 2541 3411
95,LOG-ON,260-261,2/F,(852) 2736 3866
96,MaBelle,137,1/F,(852) 2907 0800
97,MADIA,206,2/F,(852) 2505 3603
98,Maker House - H House by Pomaru,GH1,1/F,(852) 3486 4395
99,Mannings Plus,420,4/F,(852) 2907 0621
100,marimekko,204-205,2/F,(852) 2562 8328
101,Marks & Spencer,130,1/F,(852) 2921 8721
102,Massimo Dutti,289 - 290,2/F,(852) 2377 1649
103,MAX&Co.,228,2/F,(852) 2722 9615
104,Miramar Travel,062,G/F,(852) 3960 0099
105,MO&Co.,257,2/F,(852) 3468 2908
106,MOISELLE,111,1/F,(852) 2884 3006
107,MUJI,066 & 066A,G/F,(852) 3971 3170
108,Nail Bar,303,3/F,(852) 2535 4599 / 9672 1532
109,nicholas & bears,273,2/F,(852) 2907 0900
110,Nike Running,133,1/F,(852) 2554 7273
111,niko and…,054-057,G/F,(852) 2542 9066
112,NorieM Sensounico,,"2/F, 239",(852) 2155 1167
113,OPTICAL 88 Family Eyecare,124A,1/F,(852) 2569 5902
114,ORiental TRaffic,141,1/F,(852) 2603 6800
115,PANDORA,266,2/F,(852) 3184 0150
116,Patagonia,068,G/F,(852) 2111 9222
117,Phase Eight,240,2/F,(852) 2234 9178
118,Phillip Wain,,"2/F, Cityplaza Four",(852) 2513 1333
119,ROCKPORT,147B,1/F,(852) 2560 0743
120,SABON,210A,2/F,(852) 2722 3102
121,Salad,,"G/F, 029",(852) 25616238
122,Samsonite,075,G/F,(852) 2907 0132
123,SHISEIDO,,"275B, 2/F",(852) 2886 1712
124,shu uemura,251,2/F,(852) 2628 7322
125,SK-II,,"275A, 2/F",(852) 2670 2633
126,SoleRoom,147A,1/F,(852) 2845 8366
127,SPORT B.,292,2/F,(852) 2907 0288
128,STACCATO,140,1/F,(852) 2967 8399
129,Stage of Playlord,138,1/F,(852) 2884 9363
130,Standard Chartered Bank,042,G/F,(852) 3928 0394
131,Standard Chartered Bank Priority Banking Centre,044,G/F,(852) 3928 3520
132,Stride Rite,276,2/F,(852) 3580 0724
133,Superdry,035,G/F,(852) 2887 2216
134,SWAROVSKI,294,2/F,(852) 2970 3178
135,The Best Tea House,125,1/F,(852) 2368 4201
136,THE BODY SHOP,224,2/F,(852) 2884 9211
137,Timberland,069B,G/F,(852) 2907 0198
138,Tommy Hilfiger,293,2/F,(852) 2560 9808
139,Toys“R”Us,103A,1/F,(852) 2569 2388
140,Travel Expert Ltd.,060,G/F,(852) 3959 1587
141,Ultimate PC & MAC Gallery,073,G/F,(852) 3107 0805
142,UNIQLO,401,4/F,(852) 2907 0302
143,UNITED OPTICAL,406,4/F,(852) 2567 7308
144,Victorinox,112,1/F,(852) 2110 4990
145,Watson’s Wine,223,2/F,(852) 3165 1590
146,Watsons,124,1/F,(852) 2915 9055
147,ZARA,100 & 217,1/F2/F,(852) 2557 6968
148,Zoff,402,4/F,(852) 2868 3871
149,:CHOCOOLATE,072,G/F,(852) 2907 0152
150,22 hair,119A,1/F,(852) 3105 0888
